Words,AROU,VAL,DOM,CNC,IMAG
storm,6.576,3.543,4.088,5.457,6.429
story,5.484,6.71,6.031,3.781,3.807
stout,3,3.938,4.515,4.594,4.719
stove,3.636,5.588,5.706,6.406,6.618
strain,4.424,2.824,3.618,2.941,3.242
strand,3.382,4.941,4.257,4.882,4.559
strange,5.303,3.971,4.353,2.412,3.382
stranger,5.485,3.757,4.246,4.71,4.313
strangle,5.514,1.735,4.242,5.4,6.088
strap,4.2,4.714,4.6,6.171,6.029
straw,2.875,5.03,4.849,6.333,6.303
straw (drinking),3.886,5.5,4.971,6.657,6.629
straw (hay),2.943,5.147,5.182,5.941,6.229
strawberry,5.412,6.419,5.548,6.516,6.875
stray,4.032,3.688,4.636,3.281,3.515
streak,4.647,4.941,5.714,3.882,4.571
stream,4.382,6.114,5,6.057,6.471
street,3.656,5.313,5.152,6.394,6
strength,6.735,7.152,7.576,4.212,4.758
stress,5.441,1.912,3.059,3.371,4.531
stressful,4.333,2.121,3.438,3.152,4.242
stretch,4.871,5.719,5.323,4.063,4.75
strict,5.097,3.469,3.875,2.813,3.281
strictly,4.206,3.727,4,3.429,2.743
stride,4.941,5.971,6.824,4.235,4.5
strife,4.903,3.5,3.871,3.167,3.394
strike,5.061,3.424,5.697,4.294,5.147
strike (hit),5.265,2.829,5.882,5.088,5.706
strike (picket),4.677,4.375,5.697,4.849,4.515
string,3.118,5.229,4.914,5.882,6.143
strip,5.606,4.807,5.161,4.25,4.849
strip (naked),7.029,5.429,5.686,5.143,6.235
strip (narrow piece),3.5,4.912,4.529,5.353,4.758
strip (street),4.118,4.824,4.849,5.546,4.606
stripper,6.25,3.875,4.781,6.219,6.344
stroke,4.629,3.8,4.143,4.914,5.143
stroke (brain),5.529,2,2.636,5.75,4.147
stroke (pet),5.194,6.794,6.088,4.938,5.758
stroll,4.559,6.455,5.971,4.294,4.971
strong,6.706,7.571,7.618,3.943,5.086
struggle,4.576,2.853,3,3.735,4.147
stubble,4.257,5.344,5.743,6.121,6.344
stuck,4.394,3.382,3.457,3.429,4.088
student,5.177,6.086,5.857,6.286,6.229
study,3.743,5.429,5.206,4.486,5.257
stumble,4.839,3.875,3.419,3.807,4.625
stupid,4.152,2.25,3.455,3.394,3.242
style,5.914,6.441,5.943,3.029,4.257
stylish,5.743,7.086,6.029,3.171,4.2
subdue,3.742,4.061,3.813,3,2.613
subject,3.546,4.971,4.697,3.912,3.543
subjective,3.824,4.943,4.714,2.314,2.314
sublime,5.233,6.71,5.613,2.484,2.25
submarine,4.5,5.121,4.594,6.655,6.588
substance,4.5,5.303,5.5,4.697,3.303
substantial,5,6.514,6.364,3.543,3.235
substitute,3.75,4.394,4.455,3.656,3.818
subtle,3.879,5.818,4.882,2.529,2.412
subtract,3.182,4.147,4.647,3.235,3.758
suburb,2.938,4.788,4.25,5.091,5
suburbs,3.2,4.567,4.25,4.875,5.387
success,6.8,8.371,7.588,3.257,4.143
successful,6.853,8.206,7.091,2.677,4.5
suffer,5.182,1.743,2.941,2.657,4.382
suffering,4.121,1.563,3.235,3.086,4.471
suffix,2.938,4.677,4.9,3.467,3.273
suffocate,4.548,1.533,2.969,4.333,4.667
sugar,5.515,6.2,5.097,6.367,6.25
suicidal,3.6,1.343,4.057,2.727,3.886
suicide,5.031,1.382,4.25,4.667,4.606
suit,4.273,5.719,5.5,6,6.242
suit (legal),3.968,3.71,4.8,4.667,3.839
suit (playing cards),3.882,5.441,5.212,5.853,6.121
suit (special clothes),5.219,6.618,6.515,6.531,6.5
suit (to be fit for),4.281,6.364,5.656,3.121,3.727
suitcase,3.455,5.485,5.706,6.735,6.735
sulk,3.559,3.059,3.647,3.441,4.2
sulky,2.97,3.061,4.273,2.75,4.212
sulphur,3.629,4.765,4.97,6.182,4.727
sultan,4.444,5.063,5.355,5.156,4.968
summary,3.543,4.971,5.2,4.114,3.286
summer,6.886,7.8,5.371,4.971,6.114
sun,6.212,7.469,5.758,6.727,6.656
sunburn,4.829,2.714,4,6.314,6.286
sunk,3.229,3.152,3.788,4.029,3.971
sunlight,6.265,7.364,5.121,5.531,6.125
sunny,6.882,8.265,5.706,5.257,6.6
sunrise,6.182,7.788,5.5,5.531,6.484
sunset,5.886,7.472,4.824,6,6.714
sunshine,7.281,8.156,6.094,5.533,6.5
super,6.697,8.03,6.938,2.606,3.424
superb,6.882,8.485,7.156,2.618,3.303
supermarket,4.121,5.486,5.059,6.257,6.625
supplication,3.6,4.762,4.9,3.227,2.708
support,4.758,7.429,5.143,3.5,3.029
supportive,4.788,8,6,3.147,3.546
suppress,3.8,3.177,3.559,2.971,3.286
suppression,3.818,2.576,3,2.471,2.471
supreme,6.485,7.182,6.853,2.559,2.909
sure,4.914,6.486,7.118,3.088,2.743
surf,5.1,5.903,5.533,4.788,6.219
surf (breaking waves),5.4,6.314,5.743,6.235,6.382
surf (riding waves),5.939,6.735,5.688,5.576,6.121
surfer,5.143,5.941,5.529,6.485,6.333
surge,5.906,4.968,6.3,4.2,3.697
surgeon,4.829,6.4,4.324,6.429,6.382
surgery,5.469,3.939,3.849,6.3,6.265
surplus,4.032,5.182,5.029,3.219,3.818
surprise,7.353,7.088,3.647,3.152,4.469
surprising,6.412,6.515,5.088,2.629,3.588
surrender,5,3.344,2.813,3.313,3.344
surveyor,3,5,4.839,4.968,3.625
survive,6.235,7.143,6.147,3.152,3.686
survivor,6.242,7.424,6.97,4.546,4.656
suspect,4.656,3.088,4.152,3.97,4.029
suspend,4.686,3.8,3.912,3.875,3.576
suspended,4.546,3.059,3.429,3.857,3.647
suspension,4.727,4.212,4.143,4.057,3.5
suspicion,5.2,2.771,3.914,3,3.229
sustain,3.97,6.455,6.03,3.091,2.515
sustenance,4.394,6.697,4.939,3.697,3.469
swamp,3.486,3.636,4.686,5.914,6.229
swan,4.6,6.636,5.743,6.618,6.829
swarm,4.588,3.441,4.455,4.531,5.143
sway,4.121,5.229,4.647,3.941,5.457
sweat,4.971,4.457,4.735,5.944,5.97
sweater,3.697,5.515,5.071,6.5,6.667
sweatshirt,3.485,5.656,5.242,6.563,6.424
sweaty,3.636,3.091,4.219,5.206,5.97
sweep,3.743,4.829,5.758,5.152,5.515
sweeper,3.677,5.061,5.281,5.303,4.742
sweet,6.2,7.647,5.206,4.394,5.114
sweet (nice),5.667,7.971,5.559,3.029,4.059
sweet (sugar),5.794,6.912,4.914,4.794,5.177
sweetheart,6.029,7.242,4.765,3.735,4.647
sweets,6.657,6.735,5.636,6.618,6.677
swift,5.059,6,5.771,3,3.364
swift (bird),4.5,5.735,5.697,5.939,5.188
swift (quick),5.581,6.258,5.774,3.273,3.625
swim,4.758,5.829,6.086,6.03,6.412
swimmer,4.839,6.118,5.485,6.031,6.152
swimming,5.1,6.097,6.094,4.966,5.867
swindle,3.645,2.839,4.767,2.867,2.833
swing,5.394,5.758,5.677,5.781,6.194
