,red_mean,red_std,green_mean,green_std,black_mean,black_std,white_mean,white_std,blue_mean,blue_std,brown_mean,brown_std,gray_mean,gray_std,yellow_mean,yellow_std,pink_mean,pink_std,purple_mean,purple_std
1023_1852_Dickens_Charles,0.7581701653844386,0.20714319372051068,0.7281293023567887,0.22772476182604484,0.7359055147894071,0.19460014316593133,0.7446003172015845,0.19056361136705544,0.7608897170630307,0.21138439056104102,0.7699529994480284,0.15939989677504776,0.7182623299581757,0.25493377133167544,0.7894657046065156,0.18109193805767324,0.5744527716356242,0.24716208164093345,0.7606392000590045,0.20857073701580223
105_1818_Austen_Jane,0.9730544563783682,0.0,0.4961371773129829,0.0,0.6558627129999375,0.31996812083069764,0.7155470438055879,0.13075932353687306,0.8149614431762822,0.018089244594586606,0.8362801780645875,0.048777293199780414,0.9393254192575845,0.0,0.0,0.0,0.36352961233427283,0.04734344312379604,0.0,0.0
1064_1842_Poe_Edgar_Allan,0.48866277243891715,0.19636942450040434,0.7058601846617675,0.0,0.801566532082567,0.10425683303554943,0.596916139125824,0.0,0.8271445151092974,0.09994034679383404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5828857719898224,0.14091047644615173
110_1891_Hardy_Thomas,0.7215988908655669,0.18881089608614776,0.6854589659341366,0.1791895447680879,0.7222865490044537,0.2054934544029104,0.7481641714535848,0.17405981809537435,0.6094596765004409,0.19738175143648282,0.7900604912692387,0.10786600603713223,0.735415231300211,0.14087555262729495,0.6950976641837602,0.21287877135927255,0.7320700339802667,0.1885162656753406,0.7297435742954717,0.08615700005147348
11231_1853_Melville_Herman,0.7133016649030665,0.1895917459780927,0.7818381190299988,0.0,0.9018277746372716,0.01469756924816279,0.6308084427652559,0.22854356958054348,0.0,0.0,0.0,0.0,0.9319766346335031,0.010930044628175706,0.0,0.0,0.0,0.0,0.0,0.0
113_1911_Burnett_Frances_Hodgson,0.7773063891471297,0.16016815071708065,0.7458827114311088,0.20441216534958886,0.6872398379098845,0.23653041947852346,0.7385813194256319,0.19355344301446972,0.679782149856073,0.21803586654211393,0.9009798379498776,0.06343994416901015,0.8157353693565437,0.12514574166412928,0.8069844858991271,0.13139370733630826,0.754619338602496,0.12049297918315102,0.7205124070255694,0.2180667738234117
1155_1922_Christie_Agatha,0.7351776397454834,0.20208260030657882,0.6825019114262779,0.2073960250897935,0.7727055192184645,0.13395678409654246,0.8827963067646507,0.050489998464937895,0.680021246465245,0.19712444624851277,0.6702661439222415,0.22360739039379354,0.7927265875259092,0.18083747284715748,0.9509273767471313,0.0,0.0,0.0,0.4355514059862849,0.19248708407514079
11_1865_Carroll_Lewis,0.8328622573958924,0.027133973996608274,0.6831649194329568,0.2001966784566231,0.0,0.0,0.691511011654899,0.25271359735207305,0.9707932918786509,0.0,0.9393254192575845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1206_1914_Bower_B._M.,0.8155957387455983,0.08904177455802312,0.6175249930651118,0.29344681730074723,0.7664832384983474,0.1277265002261767,0.8000091044358407,0.17710957229209173,0.8346187360771455,0.08649561830249747,0.8666605465748888,0.1053218617973611,0.7522146631083471,0.12788594021413366,0.7654983983418128,0.13764838892029396,0.606003596444846,0.24724929662682565,0.5031772872188434,0.09188583695677366
120_1883_Stevenson_Robert_Louis,0.7455494901232402,0.1338346636526734,0.7665206417719344,0.15557741239922335,0.6930040563090427,0.2279358419119,0.7435539602784084,0.17644175311879193,0.8672928216344405,0.08709663408258664,0.751033186440821,0.12716998768237267,0.6944539856465785,0.19587259945266566,0.7605258609629945,0.18630871476911856,0.0,0.0,0.701816201210022,0.0
