,red_mean,red_std,green_mean,green_std,black_mean,black_std,white_mean,white_std,blue_mean,blue_std,brown_mean,brown_std,gray_mean,gray_std,yellow_mean,yellow_std,pink_mean,pink_std,purple_mean,purple_std
1023_1852_Dickens_Charles,0.7739545557746682,0.20900946869559087,0.70919284980573,0.2512924458971575,0.7456462262086788,0.2002508085947144,0.7643425154550461,0.18933176918934677,0.789587907133673,0.2199643512729036,0.7967365776749624,0.14844030819917772,0.7603847952750961,0.24077167941312008,0.8501871469706227,0.15251474709895596,0.618501816328346,0.2291478289180453,0.779184357912425,0.20284419039321946
105_1818_Austen_Jane,0.9782859338970024,0.0,0.45695618754804,0.0,0.7121635783552482,0.274795256740153,0.770622521856489,0.10491845223978556,0.8897093735824266,0.06513305531841901,0.8654526375652185,0.0498048566699853,0.9281322059953883,0.0,0.0,0.0,0.3024446422049488,0.10490428863077507,0.0,0.0
1064_1842_Poe_Edgar_Allan,0.582372533948245,0.16628291441001566,0.9413912375096081,0.0,0.8074194509311727,0.08782513092745521,0.5783751010894775,0.0,0.8139432176027487,0.11321903586763912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6191587448120117,0.05456572771072388
110_1891_Hardy_Thomas,0.7345582960458805,0.18827042764671945,0.6882716448127105,0.18805460178832117,0.7449026855909989,0.2110909720727695,0.7563707371586769,0.18691047853885923,0.6046054631212606,0.21952374952423317,0.8079734581107211,0.14719229289144173,0.7519280035320748,0.17341301510076587,0.7165441464586274,0.1867631504427269,0.7473592727218692,0.2125882473128491,0.7793132621692811,0.09775355171490693
11231_1853_Melville_Herman,0.6761473552053049,0.15335099853917897,0.8013455867767334,0.0,0.9551306687163721,0.016621829362029106,0.5863701952767579,0.2346811888483952,0.0,0.0,0.0,0.0,0.9580450935178068,0.021176177320617037,0.0,0.0,0.0,0.0,0.0,0.0
113_1911_Burnett_Frances_Hodgson,0.7873171919116131,0.1868877515042367,0.7603673953343166,0.1961890546015242,0.7205149022773859,0.23432157956177305,0.7902930812156646,0.19743831662607422,0.7034186992997031,0.24779488378405304,0.9043364078913655,0.08698232508781122,0.8632463961694598,0.10994099445189927,0.8752882398155265,0.08217930068480563,0.8051624124458805,0.11602481505118131,0.783425611858556,0.1806825108440632
1155_1922_Christie_Agatha,0.747847440341154,0.2064118014670526,0.6745173733890469,0.21225143715127673,0.8293589878900827,0.13820347638811842,0.9297792906555397,0.04080373151252753,0.6511316719862732,0.27466327821233616,0.6668804169656227,0.26441167543823874,0.7331539841147835,0.26779726302442225,0.9592670202255249,0.0,0.0,0.0,0.6291818095878428,0.03207330706192826
11_1865_Carroll_Lewis,0.8615488086087625,0.03679861644888549,0.6840000251661714,0.19551573194374405,0.0,0.0,0.7860622078279578,0.26669243790903274,0.9880860876249039,0.0,0.9281322059953883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1206_1914_Bower_B._M.,0.8480927202561377,0.11678108271034968,0.6118937778207177,0.2844876379885364,0.790671083397539,0.14943417163866896,0.8370244778091408,0.14389583038808948,0.8463453602186082,0.11558871556615156,0.8840685562976461,0.08728155642052933,0.7790173594925057,0.14648113545908673,0.8358954650269024,0.07667179093005383,0.6398845883239516,0.21535693145745158,0.7127286432615891,0.10644891246477517
120_1883_Stevenson_Robert_Louis,0.7870946941644816,0.13263499963296727,0.7644713663624214,0.14378762085183916,0.7311428333924158,0.20734669349081783,0.768584431618139,0.17591417361934145,0.893989810432314,0.08684190170511975,0.7577970982834892,0.19021425485353516,0.6638330375669136,0.212208429366824,0.7864220716053482,0.16169863443427415,0.0,0.0,0.6002557873725891,0.0
